Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
59900,52,43,5,0.52,0.43,0.05
60000,47,46,7,0.47,0.46,0.07
60100,47,47,6,0.47,0.47,0.06
60200,51,47,2,0.51,0.47,0.02
60300,39,57,4,0.39,0.57,0.04
60400,32,63,5,0.32,0.63,0.05
60500,46,53,1,0.46,0.53,0.01
60600,31,64,5,0.31,0.64,0.05
60700,34,60,6,0.34,0.6,0.06
60800,51,44,5,0.51,0.44,0.05
60900,45,46,9,0.45,0.46,0.09
61000,49,44,7,0.49,0.44,0.07
61100,53,42,5,0.53,0.42,0.05
61200,51,44,5,0.51,0.44,0.05
61300,31,66,3,0.31,0.66,0.03
61400,47,47,6,0.47,0.47,0.06
61500,49,49,2,0.49,0.49,0.02
61600,41,56,3,0.41,0.56,0.03
61700,44,55,1,0.44,0.55,0.01
61800,39,54,7,0.39,0.54,0.07
61900,43,56,1,0.43,0.56,0.01
62000,32,61,7,0.32,0.61,0.07
62100,48,49,3,0.48,0.49,0.03
62200,52,46,2,0.52,0.46,0.02
62300,34,65,1,0.34,0.65,0.01
62400,30,67,3,0.3,0.67,0.03
62500,51,44,5,0.51,0.44,0.05
62600,48,49,3,0.48,0.49,0.03
62700,39,59,2,0.39,0.59,0.02
62800,35,62,3,0.35,0.62,0.03
62900,24,71,5,0.24,0.71,0.05
63000,40,57,3,0.4,0.57,0.03
63100,35,63,2,0.35,0.63,0.02
63200,39,56,5,0.39,0.56,0.05
63300,36,56,8,0.36,0.56,0.08
63400,50,43,7,0.5,0.43,0.07
63500,39,59,2,0.39,0.59,0.02
63600,43,53,4,0.43,0.53,0.04
63700,54,41,5,0.54,0.41,0.05
63800,51,49,0,0.51,0.49,0.0
63900,47,47,6,0.47,0.47,0.06
64000,43,55,2,0.43,0.55,0.02
64100,45,54,1,0.45,0.54,0.01
64200,36,60,4,0.36,0.6,0.04
64300,45,53,2,0.45,0.53,0.02
64400,26,68,6,0.26,0.68,0.06
64500,35,59,6,0.35,0.59,0.06
64600,27,71,2,0.27,0.71,0.02
64700,33,64,3,0.33,0.64,0.03
64800,43,54,3,0.43,0.54,0.03
64900,37,63,0,0.37,0.63,0.0
65000,35,61,4,0.35,0.61,0.04
65100,35,62,3,0.35,0.62,0.03
65200,46,52,2,0.46,0.52,0.02
