Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
61100,21,77,2,0.21,0.77,0.02
61200,23,74,3,0.23,0.74,0.03
61300,17,82,1,0.17,0.82,0.01
61400,20,79,1,0.2,0.79,0.01
61500,23,75,2,0.23,0.75,0.02
61600,19,77,4,0.19,0.77,0.04
61700,19,76,5,0.19,0.76,0.05
61800,17,75,8,0.17,0.75,0.08
61900,12,86,2,0.12,0.86,0.02
62000,21,77,2,0.21,0.77,0.02
62100,17,80,3,0.17,0.8,0.03
62200,26,73,1,0.26,0.73,0.01
62300,14,82,4,0.14,0.82,0.04
62400,20,77,3,0.2,0.77,0.03
62500,16,81,3,0.16,0.81,0.03
62600,16,81,3,0.16,0.81,0.03
62700,17,78,5,0.17,0.78,0.05
62800,18,78,4,0.18,0.78,0.04
62900,15,80,5,0.15,0.8,0.05
63000,15,82,3,0.15,0.82,0.03
63100,23,71,6,0.23,0.71,0.06
63200,20,74,6,0.2,0.74,0.06
63300,21,76,3,0.21,0.76,0.03
63400,25,74,1,0.25,0.74,0.01
63500,22,76,2,0.22,0.76,0.02
63600,17,78,5,0.17,0.78,0.05
63700,24,73,3,0.24,0.73,0.03
63800,18,79,3,0.18,0.79,0.03
63900,20,77,3,0.2,0.77,0.03
64000,17,78,5,0.17,0.78,0.05
64100,17,79,4,0.17,0.79,0.04
64200,18,80,2,0.18,0.8,0.02
64300,17,80,3,0.17,0.8,0.03
64400,29,66,5,0.29,0.66,0.05
64500,18,78,4,0.18,0.78,0.04
64600,17,78,5,0.17,0.78,0.05
64700,20,72,8,0.2,0.72,0.08
64800,22,77,1,0.22,0.77,0.01
64900,19,79,2,0.19,0.79,0.02
65000,19,77,4,0.19,0.77,0.04
65100,14,79,7,0.14,0.79,0.07
65200,22,74,4,0.22,0.74,0.04
